	NO. OF QUARANTINE CENTRE W.R.T CORONA VIRUS	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6	Unnamed: 7	CompleteAddress	Lat	Long
261	Kasur	Irrigation Rest House Balloki	4		4				Irrigation Rest House Balloki Kasur	31.0387848	74.4858584
262	Kasur	Red Crescent Medical & Dental College Dina Nath		134	134				Red Crescent Medical & Dental College Dina Nath Kasur	31.2462555	74.0051484
263	Kasur	Ahsan Raheem Memorial Hospital Head Balloki.		10	10				Ahsan Raheem Memorial Hospital Head Balloki. Kasur	0	0
264	Kasur	Govt. Degree College for Boys, KRK		11	11				Govt. Degree College for Boys, KRK Kasur	31.1063151	74.4359248
265	Kasur	Al-Shifa Hospital (Private)		13	20				Al-Shifa Hospital (Private) Kasur	31.1064787	74.3833931
266	Kasur	Special Education Center, Chunian		33	140				Special Education Center, Chunian Kasur	30.9619013	73.9702489
267	Kasur	Govt. Boys Degree College College, Chunian		19	130				Govt. Boys Degree College College, Chunian Kasur	30.9614436	73.9603195
268	Kasur	DPS School, Kasur		160	480				DPS School, Kasur Kasur	31.1595286	74.1479977
269	Kasur	Govt. Islamia Degree Collage		54	116				Govt. Islamia Degree Collage Kasur	31.1274904	74.4517667
270	Kasur	PIASS College, Kasur		18	48				PIASS College, Kasur Kasur	31.1443776	74.4512491
271	Kasur	KIPS, College, Kasur		21	46				KIPS, College, Kasur Kasur	31.1486103,	74.4517186
272	Kasur	Punjab College, Kasur		45	100				Punjab College, Kasur Kasur	31.1175143	74.4478314
273	Kasur	Shehbaz Sharif Sports Complex, Kasur		10	24				Shehbaz Sharif Sports Complex, Kasur Kasur	31.1326176	74.4396327
274	Kasur	Nawaz Memorial Higher Secondary School, Roshan Bheela		31	64				Nawaz Memorial Higher Secondary School, Roshan Bheela Kasur	31.0649647	74.351118
275	Kasur	Girls Degree College, Khudian		64	74				Girls Degree College, Khudian Kasur	30.9902908	74.2653453
276	Kasur	Veterinary University Pattoki		20	20				Veterinary University Pattoki Kasur	31.0622445	73.8639878
277	Kasur	Rest House Changa Manga, Chunian	5		5				Rest House Changa Manga, Chunian Kasur	31.0623772	73.7961352
278	Kasur	Rest House Ganda Singh Wala, Kasur	4		4				Rest House Ganda Singh Wala, Kasur Kasur	31.0800621	74.4256772
279	Kasur	Brothers Sugar Mill Pvt LTD Canal, Chunian		2	10				Brothers Sugar Mill Pvt LTD Canal, Chunian Kasur	30.9604042	73.9940368
280	Kasur	Abandoned Green View Motel, Pattoki	3		4				Abandoned Green View Motel, Pattoki Kasur	30.9793769	73.7827008
281	Kasur	Head Balloki, Pattoki		6	6				Head Balloki, Pattoki Kasur	0	0
282	Kasur	Mouza Sindhu, Pattoki		4	4				Mouza Sindhu, Pattoki Kasur	0	0
283	Kasur	Labour Colony Ahad Rice Mill Raiwind Road KRK		24	24				Labour Colony Ahad Rice Mill Raiwind Road KRK Kasur	0	0
284	Kasur	PIASS College , Kasur		24	48				PIASS College , Kasur Kasur	31.1443776	74.4512491
285	Kasur	Nawaz Memorial Higher Secondary School, RoshanBheela		32	64				Nawaz Memorial Higher Secondary School, RoshanBheela Kasur	31.120719	74.4511372
286	Nankana Sahib	TDCP Motel Nankana Sahib		17	55	Electricity, Backup Power, Sewerage System, Drinking Water, Gas Cylinder			TDCP Motel Nankana Sahib Nankana Sahib	31.4457445	73.7028231
287	Nankana Sahib	Govt. Guru Nanak Degree College for Women Nankana Sahib		14	50	DO			Govt. Guru Nanak Degree College for Women Nankana Sahib Nankana Sahib	31.4479266	73.6944899
288	Nankana Sahib	Danish School Centre of Excellence Nankana Sahib		27	70	DO			Danish School Centre of Excellence Nankana Sahib Nankana Sahib	31.4481524	73.5587778
289	Nankana Sahib	Govt. Degree College for Women Bucheki		18	50	DO			Govt. Degree College for Women Bucheki Nankana Sahib	31.4485858	73.5587768
290	Nankana Sahib	Govt Degree College for Women Mandi Faizabad		18	50	DO			Govt Degree College for Women Mandi Faizabad Nankana Sahib	31.4161054	73.9887165
291	Nankana Sahib	Ajwa Marriage Hall Mandi Faizabad	1		70	DO	Hall		Ajwa Marriage Hall Mandi Faizabad Nankana Sahib	31.4151153	73.9862471
292	Nankana Sahib	Govt. Higher Secondary School for Boys Bara Ghar		25	80	DO			Govt. Higher Secondary School for Boys Bara Ghar Nankana Sahib	31.2189233	73.6274566
293	Nankana Sahib	Govt. Higher Secondary School for Boys More khunda		45	150	DO			Govt. Higher Secondary School for Boys More khunda Nankana Sahib	31.3206813	73.7879151
294	Nankana Sahib	Rural Health Centre Warburton		4	20	DO			Rural Health Centre Warburton Nankana Sahib	31.31791	73.6541287
295	Nankana Sahib	Govt. Girls Higher Secondary School for Women Syedwala		12	50	DO			Govt. Girls Higher Secondary School for Women Syedwala Nankana Sahib	31.1435822	73.4972121
296	Nankana Sahib	Shehnaee Marriage Hall Syedwala	1		70	DO	Hall		Shehnaee Marriage Hall Syedwala Nankana Sahib	31.1523809	73.4910193
297	Nankana Sahib	Sports Complex Hostel		9	50	DO			Sports Complex Hostel Nankana Sahib	31.4469698	73.7035135
298	Nankana Sahib	Tehsil Rest House		8	32	DO			Tehsil Rest House Nankana Sahib	0	0
